iter	Passed	Remaining
0	3	322
1	5	245
2	6	214
3	8	192
4	9	186
5	11	180
6	13	175
7	14	171
8	17	174
9	19	175
10	21	171
11	22	167
12	24	164
13	26	161
14	28	159
15	29	156
16	32	157
17	34	157
18	36	155
19	37	151
20	39	149
21	41	146
22	43	144
23	44	141
24	46	140
25	49	140
26	50	137
27	52	135
28	54	133
29	56	131
30	58	129
31	59	127
32	61	125
33	64	124
34	65	122
35	67	120
36	69	118
37	71	116
38	73	114
39	74	112
40	77	111
41	78	108
42	80	106
43	82	104
44	83	102
45	85	100
46	87	98
47	88	96
48	90	94
49	93	93
50	95	91
51	96	89
52	98	87
53	100	85
54	101	82
55	102	80
56	104	78
57	107	77
58	109	76
59	111	74
60	113	72
61	114	70
62	116	68
63	118	66
64	119	64
65	122	63
66	124	61
67	126	59
68	129	58
69	130	56
70	132	54
71	134	52
72	138	51
73	140	49
74	141	47
75	143	45
76	145	43
77	147	41
78	149	39
79	152	38
80	154	36
81	156	34
82	157	32
83	159	30
84	161	28
85	163	26
86	165	24
87	168	22
88	169	21
89	171	19
90	173	17
91	175	15
92	176	13
93	178	11
94	180	9
95	183	7
96	184	5
97	186	3
98	188	1
99	189	0
